Entity,Code,Year,Fertility,Education,Population,OECD
Afghanistan,AFG,1960,7.2817,0.0802037,8622473,0
Albania,ALB,1960,6.4547,2.823972,1711189,0
Algeria,DZA,1960,7.5026,0.5680707,11394309,0
Argentina,ARG,1960,3.0745,5.595994,20349748,0
Armenia,ARM,1960,4.7865,7.736188,1904150,0
Australia,AUS,1960,3.4531,8.860011,10286648,0
Austria,AUT,1960,2.6953,4.924224,7046554,1
Bahrain,BHR,1960,7.1517,0.8536737,160702,0
Bangladesh,BGD,1960,6.7843,0.3085823,50396428,0
Barbados,BRB,1960,4.3332,5.083346,232560,0
Belgium,BEL,1960,2.542,7.367405,9108729,1
Belize,BLZ,1960,6.5,7.73244,91420,0
Benin,BEN,1960,6.2825,0.3774457,2512290,0
Bolivia,BOL,1960,6.3578,2.415284,3707520,0
Botswana,BWA,1960,6.6277,1.459571,512874,0
Brazil,BRA,1960,6.0609,2.408626,73092520,0
Brunei,BRN,1960,6.8358,1.548933,85361,0
Bulgaria,BGR,1960,2.3107,5.455853,7891763,0
Burundi,BDI,1960,7.0026,0.3833109,2746633,0
Cambodia,KHM,1960,6.2509,0.5094785,5541679,0
Cameroon,CMR,1960,5.6468,0.4919385,5117606,0
Canada,CAN,1960,3.8957,8.752054,17909358,1
Central African Republic,CAF,1960,5.8144,0.3023618,1679735,0
Chile,CHL,1960,4.6965,5.078448,8141826,0
China,CHN,1960,4.451,2.250094,654170688,0
Colombia,COL,1960,6.7352,2.997138,15687692,0
Congo,COG,1960,6.0848,0.4639506,1055696,0
Costa Rica,CRI,1960,6.7118,3.970313,1346310,0
Cote d'Ivoire,CIV,1960,7.6911,0.4260529,3708671,0
Croatia,HRV,1960,2.2324,6.080951,4215334,0
Cuba,CUB,1960,4.1287,4.203438,7267396,0
Cyprus,CYP,1960,3.5122,4.825152,585727,0
Czechia,CZE,1960,2.0957,8.349267,9539362,0
Democratic Republic of Congo,COD,1960,6.08,0.2150251,15276558,0
Denmark,DNK,1960,2.5432,5.219239,4581730,1
Dominican Republic,DOM,1960,7.5545,2.697886,3298024,0
Ecuador,ECU,1960,6.7205,3.009501,4618160,0
Egypt,EGY,1960,6.7942,0.3604684,27034500,0
El Salvador,SLV,1960,6.634,1.731389,2779332,0
Estonia,EST,1960,1.9829,7.12016,1218073,0
Eswatini,SWZ,1960,6.7521,1.610852,345074,0
Fiji,FJI,1960,6.4612,3.833428,401851,0
Finland,FIN,1960,2.7199,4.343295,4430178,0
France,FRA,1960,2.7317,4.305063,45659572,1
Gabon,GAB,1960,4.4221,1.592449,513346,0
Gambia,GMB,1960,6.2462,0.3070679,399656,0
Germany,DEU,1960,2.3849,7.411774,73063696,1
Ghana,GHA,1960,6.8472,0.5160092,6911514,0
Greece,GRC,1960,2.3068,7.420384,8495419,0
Guatemala,GTM,1960,6.9553,1.170188,4098362,0
Guyana,GUY,1960,6.3716,4.592846,571994,0
Haiti,HTI,1960,6.2083,0.5938295,3901147,0
Honduras,HND,1960,7.4584,1.718555,2078624,0
Hong Kong,HKG,1960,5.0668,4.122321,3114676,0
Hungary,HUN,1960,2.0216,7.588036,9982618,0
Iceland,ISL,1960,4.2583,6.418652,175583,1
India,IND,1960,5.9211,0.5280578,445954560,0
Indonesia,IDN,1960,5.5467,1.005669,88382888,0
Iran,IRN,1960,7.301,0.5637187,21388810,0
Iraq,IRQ,1960,5.3,0.2151608,7084683,0
Ireland,IRL,1960,3.7776,7.537031,2811075,1
Israel,ISR,1960,4.0531,7.297848,1902260,0
Italy,ITA,1960,2.3782,4.959822,49517708,0
Jamaica,JAM,1960,5.58,4.078824,1642331,0
Japan,JPN,1960,2.0149,7.394242,94464840,0
Jordan,JOR,1960,7.6689,1.176992,847944,0
Kazakhstan,KAZ,1960,4.53,3.386632,9319287,0
Kenya,KEN,1960,7.6324,0.8843597,7751440,0
Kuwait,KWT,1960,7.1617,1.39011,305422,0
Kyrgyzstan,KGZ,1960,5.3756,4.517819,2216535,0
Laos,LAO,1960,6.2918,0.6813309,2122537,0
Latvia,LVA,1960,1.9487,4.930986,2154253,0
Lesotho,LSO,1960,5.8188,3.603207,737851,0
Liberia,LBR,1960,6.391,0.3262068,1137030,0
Libya,LBY,1960,7.3731,0.0786711,1426984,0
Lithuania,LTU,1960,2.6293,4.795081,2875686,0
Luxembourg,LUX,1960,2.2889,6.439005,314170,1
Macao,MAC,1960,4.9328,3.302114,177028,0
Malawi,MWI,1960,7.0295,0.6804817,3621087,0
Malaysia,MYS,1960,6.407,1.53056,7833788,0
Maldives,MDV,1960,6.8043,3.398869,91666,0
Mali,MLI,1960,7.0045,0.0898107,5346797,0
Malta,MLT,1960,4.0072,4.213264,337632,0
Mauritania,MRT,1960,6.3539,1.322115,838486,0
Mauritius,MUS,1960,6.1665,2.680691,676690,0
Mexico,MEX,1960,6.7626,2.273515,36268048,0
Moldova,MDA,1960,3.3279,4.330905,3133275,0
Mongolia,MNG,1960,6.8272,2.201458,977906,0
Morocco,MAR,1960,7.0405,0.3170954,11769782,0
Mozambique,MOZ,1960,6.315,0.3994251,6788377,0
Myanmar,MMR,1960,5.9831,0.925037,21720702,0
Namibia,NAM,1960,6.2049,2.862875,590188,0
Nepal,NPL,1960,6.0296,0.0251311,10167941,0
Netherlands,NLD,1960,3.1235,6.250713,11493124,1
New Zealand,NZL,1960,4.2384,10.40365,2381191,0
Nicaragua,NIC,1960,7.1586,1.622682,1789695,0
Niger,NER,1960,7.5296,0.0774269,3497438,0
Norway,NOR,1960,2.869,7.452394,3581521,1
Pakistan,PAK,1960,6.8,0.4187092,45954228,0
Panama,PAN,1960,5.8443,4.834687,1126996,0
Papua New Guinea,PNG,1960,6.0182,0.4782626,1985668,0
Paraguay,PRY,1960,6.4997,3.051206,1894835,0
Peru,PER,1960,6.9413,2.685113,10172210,0
Philippines,PHL,1960,7.1481,3.135432,28486868,0
Poland,POL,1960,3.0302,6.362026,29509902,0
Portugal,PRT,1960,3.1619,2.342145,8882476,1
Qatar,QAT,1960,6.6467,1.909843,36406,0
Reunion,REU,1960,6.6094,2.915318,366001,0
Romania,ROU,1960,2.3322,5.099003,18458012,0
Russia,RUS,1960,2.578,5.045399,119735104,0
Rwanda,RWA,1960,8.1867,0.2726618,2966170,0
Saudi Arabia,SAU,1960,7.6261,1.322212,4165566,0
Senegal,SEN,1960,6.9963,1.226787,3273181,0
Serbia,SRB,1960,2.1131,4.362984,6579987,0
Sierra Leone,SLE,1960,6.1748,0.3154796,2301315,0
Singapore,SGP,1960,5.7624,2.532471,1601091,0
Slovakia,SVK,1960,3.0388,8.332857,4124235,0
Slovenia,SVN,1960,2.1852,6.270236,1599581,0
South Africa,ZAF,1960,6.1591,4.514693,16520438,0
South Korea,KOR,1960,5.949,3.238114,25817530,0
Spain,ESP,1960,2.7826,4.382171,30415594,1
Sri Lanka,LKA,1960,5.4649,3.336321,9783874,0
Sudan,SDN,1960,6.6472,0.1513347,8326464,0
Sweden,SWE,1960,2.1765,7.933725,7492907,1
Switzerland,CHE,1960,2.4433,8.960276,5328275,1
Syria,SYR,1960,7.485,0.5565822,4610717,0
Taiwan,TWN,1960,5.7952,2.343671,10983152,0
Tajikistan,TJK,1960,6.5474,4.802483,2132000,0
Tanzania,TZA,1960,6.7249,0.8192348,10042467,0
Thailand,THA,1960,6.2483,2.219793,26596590,0
Togo,TGO,1960,6.7173,0.1784214,1651372,0
Tonga,TON,1960,6.8853,6.38722,67447,0
Trinidad and Tobago,TTO,1960,5.3453,5.485817,847067,0
Tunisia,TUN,1960,6.9423,0.4179434,4195466,0
Turkey,TUR,1960,6.3831,1.162881,27510982,1
Uganda,UGA,1960,6.9363,0.6045007,7617751,0
Ukraine,UKR,1960,2.2394,5.747871,42767252,0
United Arab Emirates,ARE,1960,6.7182,0.9270816,133440,0
United Kingdom,GBR,1960,2.7418,7.433133,52543024,1
United States,USA,1960,3.5495,10.24695,176188576,1
Uruguay,URY,1960,2.8271,5.353091,2529028,0
Venezuela,VEN,1960,6.3578,2.076751,8156941,0
Vietnam,VNM,1960,6.2801,2.361946,32718462,0
Yemen,YEM,1960,7.9379,0.0233446,5542460,0
Zambia,ZMB,1960,7.1153,1.799104,3119431,0
Zimbabwe,ZWE,1960,7.2199,1.99544,3806312,0
